from_node,to_node,distance_m,road_type,max_speed_kmh,oneway
249783291,5485951708,6.56,secondary,60,1
5485951708,10248656809,4.18,secondary,60,1
10248656809,6656817024,16.97,secondary,60,1
6656817024,1762944968,11.82,secondary,60,1
1762944968,1762945123,32.86,secondary,60,1
1762945123,10248624606,11.86,secondary,60,1
10248624606,5485952479,21.01,secondary,60,1
5485952479,11964115179,6.74,secondary,60,1
11964115179,5681450581,3.25,secondary,60,1
5681450581,249783293,27.38,secondary,60,1
6702715325,1762989541,7.31,secondary,60,0
1762989541,6702715325,7.31,secondary,60,0
1762989541,5681450578,7.30,secondary,60,0
5681450578,1762989541,7.30,secondary,60,0
5681450578,1762989517,7.30,secondary,60,0
1762989517,5681450578,7.30,secondary,60,0
1762989517,5681450576,7.90,secondary,60,0
5681450576,1762989517,7.90,secondary,60,0
5681450576,6702699405,7.89,secondary,60,0
6702699405,5681450576,7.89,secondary,60,0
6702699405,5681450575,7.90,secondary,60,0
5681450575,6702699405,7.90,secondary,60,0
5681450575,1762989512,7.90,secondary,60,0
1762989512,5681450575,7.90,secondary,60,0
1762989512,6702699408,7.89,secondary,60,0
6702699408,1762989512,7.89,secondary,60,0
6702699408,5681450574,6.75,secondary,60,0
5681450574,6702699408,6.75,secondary,60,0
5681450574,249786859,6.74,secondary,60,0
249786859,5681450574,6.74,secondary,60,0
249786859,5681450573,6.74,secondary,60,0
5681450573,249786859,6.74,secondary,60,0
5681450573,1762989499,6.74,secondary,60,0
1762989499,5681450573,6.74,secondary,60,0
1762989499,6666317455,6.75,secondary,60,0
6666317455,1762989499,6.75,secondary,60,0
249791934,10264542489,29.35,tertiary,50,1
10264542489,6385537599,43.96,tertiary,50,1
6385537599,5792664486,67.29,tertiary,50,1
5339323505,11565005064,22.91,secondary,60,1
11565005064,266809471,73.91,secondary,60,1
266809471,266809470,62.35,secondary,60,1
266809470,266809469,90.11,secondary,60,1
266809469,1754729471,40.42,secondary,60,1
1754729471,3745099601,9.75,secondary,60,1
3745099601,266809468,28.45,secondary,60,1
266809468,1754729505,63.72,secondary,60,1
1754729505,9852811937,86.82,secondary,60,1
9852811937,266809467,69.76,secondary,60,1
266809467,943830347,257.68,secondary,60,1
943830347,9767010916,26.46,secondary,60,1
9767010916,266809466,36.30,secondary,60,1
266809466,5339323483,11.29,secondary,60,1
5339323483,5339323485,11.80,secondary,60,1
266809747,11773807748,9.66,secondary,60,1
11773807748,10302340970,69.66,secondary,60,1
10302340970,10302340968,74.65,secondary,60,1
10302340968,266809748,27.13,secondary,60,1
266809748,266809749,141.64,secondary,60,1
266809749,5137961097,39.97,secondary,60,1
5137961097,563661926,108.33,secondary,60,1
563661926,11837017428,8.65,secondary,60,1
11837017428,6669134699,285.08,secondary,60,1
6669134699,13540185196,20.51,secondary,60,1
621248536,5340271720,21.24,secondary,60,1
5340271720,12780247330,95.09,secondary,60,1
12780247330,1633262436,100.59,secondary,60,1
621248512,6655403358,12.27,tertiary,50,1
6655403358,6655403385,6.38,tertiary,50,1
6655403385,6655403357,4.46,tertiary,50,1
6655403357,267193180,9.53,tertiary,50,1
267193180,6655403387,17.33,tertiary,50,1
6655403387,6655403355,27.32,tertiary,50,1
6655403355,9852527171,13.29,tertiary,50,1
9852527171,267193179,8.44,tertiary,50,1
267193179,6645848778,21.32,tertiary,50,1
6645848778,267193178,29.77,tertiary,50,1
267193178,6655403377,7.67,tertiary,50,1
6655403377,10271129622,20.84,tertiary,50,1
10271129622,6655403353,19.27,tertiary,50,1
6655403353,13253573808,9.08,tertiary,50,1
13253573808,6655403352,34.95,tertiary,50,1
6655403352,13253573827,63.40,tertiary,50,1
13253573827,6655403354,9.19,tertiary,50,1
6655403354,267193177,32.61,tertiary,50,1
267193177,6655403351,16.95,tertiary,50,1
6655403351,13253573822,3.02,tertiary,50,1
13253573822,267193176,18.83,tertiary,50,1
267193176,6655403350,24.04,tertiary,50,1
6655403350,267193175,22.58,tertiary,50,1
267193175,6655403349,20.30,tertiary,50,1
6655403349,7222231181,34.50,tertiary,50,1
7222231181,947950267,22.48,tertiary,50,1
947950267,6655403315,31.68,tertiary,50,1
6655403315,6655403312,18.36,tertiary,50,1
6655403312,6655403332,30.44,tertiary,50,1
6655403332,947950205,51.28,tertiary,50,1
947950205,267193173,139.50,tertiary,50,1
267193173,6655403336,24.67,tertiary,50,1
6655403336,267193172,21.97,tertiary,50,1
267193172,6655403334,9.68,tertiary,50,1
6655403334,6655403335,10.50,tertiary,50,1
6655403335,621248522,6.76,tertiary,50,1
6655403315,6655403314,3.61,tertiary,50,1
6655403314,6655403313,13.35,tertiary,50,1
6655403313,267193174,12.31,tertiary,50,1
267193174,13607399692,44.83,tertiary,50,1
13607399692,13607417201,23.20,tertiary,50,1
13607417201,563661941,45.35,tertiary,50,1
563661941,3644533743,109.63,tertiary,50,1
6655403189,6655403188,9.95,secondary,60,1
6655403188,6655403181,8.49,secondary,60,1
6655403181,11808669627,10.96,secondary,60,1
11808669627,6655403180,7.28,secondary,60,1
6655403180,6655403179,17.10,secondary,60,1
6655403179,6655403177,43.24,secondary,60,1
6655403177,6655403178,81.07,secondary,60,1
6655403178,6655403187,37.20,secondary,60,1
6655403187,563659620,27.21,secondary,60,1
563659620,6655403175,14.06,secondary,60,1
6655403175,6655403176,22.15,secondary,60,1
6655403176,621248471,16.05,secondary,60,1
6655403142,6655403141,11.06,tertiary,50,1
6655403141,6655403140,14.88,tertiary,50,1
6655403140,12144692245,5.17,tertiary,50,1
12144692245,11001404247,3.91,tertiary,50,1
11001404247,563659593,11.17,tertiary,50,1
563659593,6655403143,81.66,tertiary,50,1
6655403143,12000416976,62.75,tertiary,50,1
12000416976,13579391175,12.38,tertiary,50,1
13579391175,13579391170,9.44,tertiary,50,1
13579391170,563661919,4.85,tertiary,50,1
563661919,10302340966,14.84,tertiary,50,1
10302340966,12000416978,1.75,tertiary,50,1
12000416978,6655403154,42.95,tertiary,50,1
6655403154,267193196,37.77,tertiary,50,1
267193196,267193197,20.94,tertiary,50,1
267193197,5134531453,18.37,tertiary,50,1
5134531453,267193198,23.05,tertiary,50,1
267193198,267193199,49.86,tertiary,50,1
267193199,267193200,27.98,tertiary,50,1
267193200,5134531449,32.57,tertiary,50,1
5134531449,267193160,116.56,tertiary,50,1
910549669,9861910940,35.35,tertiary,50,1
9861910940,267193231,41.18,tertiary,50,1
267193231,9874614516,26.48,tertiary,50,1
9874614516,9874614515,38.52,tertiary,50,1
9874614515,9874717717,45.67,tertiary,50,1
9874717717,13161810460,31.33,tertiary,50,1
13161810460,267193230,14.04,tertiary,50,1
267193230,12237754715,53.10,tertiary,50,1
1765269481,309862764,14.61,secondary,60,1
309862764,309862763,24.02,secondary,60,1
309862763,11984980568,7.75,secondary,60,1
11984980568,1765269517,11.98,secondary,60,1
1765269517,10248637964,63.30,secondary,60,1
10248637964,910549670,19.94,secondary,60,1
309859088,267193309,8.88,secondary,60,1
267193309,6657105372,11.84,secondary,60,1
6657105372,12000402767,11.53,secondary,60,1
12000402767,6657105373,18.45,secondary,60,1
6657105373,6961442931,89.80,secondary,60,1
6961442931,6657105374,56.23,secondary,60,1
6657105374,6657105375,93.82,secondary,60,1
6657105375,6657105376,78.50,secondary,60,1
6657105376,13300781266,18.17,secondary,60,1
13300781266,11808826356,17.79,secondary,60,1
11808826356,1870091833,50.70,secondary,60,1
1870091833,947950706,96.04,secondary,60,1
947950706,11808826239,2.48,secondary,60,1
11808826239,267193310,81.19,secondary,60,1
267193310,267193311,25.72,secondary,60,1
267193311,267193312,23.17,secondary,60,1
267193312,12880309506,121.31,secondary,60,1
12880309506,947950223,37.71,secondary,60,1
947950223,6657105377,125.77,secondary,60,1
6657105377,6657105378,78.12,secondary,60,1
6657105378,6657116893,12.98,secondary,60,1
6657116893,6657105379,40.46,secondary,60,1
6657105379,309859421,53.14,secondary,60,1
309858909,6961442945,8.57,secondary,60,1
6961442945,910451024,5.48,secondary,60,1
910451024,6961442934,6.77,secondary,60,1
6961442934,910450773,6.34,secondary,60,1
910450773,12000402764,5.01,secondary,60,1
12000402764,6437397301,103.11,secondary,60,1
6437397301,12250318830,65.71,secondary,60,1
10657610045,267193355,7.99,residential,30,0
267193355,10657610045,7.99,residential,30,0
267193355,7257645747,41.02,residential,30,0
7257645747,267193355,41.02,residential,30,0
7257645747,267193356,16.41,residential,30,0
267193356,7257645747,16.41,residential,30,0
267193356,267193357,57.97,residential,30,0
267193357,267193356,57.97,residential,30,0
267193357,267193358,74.19,residential,30,0
267193358,267193357,74.19,residential,30,0
267193358,3731950243,38.92,residential,30,0
